"ID","Name","Form","Type1","Type2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation"
1,"Bulbasaur"," ","Grass","Poison",318,45,49,49,65,65,45,1
2,"Ivysaur"," ","Grass","Poison",405,60,62,63,80,80,60,1
3,"Venusaur"," ","Grass","Poison",525,80,82,83,100,100,80,1
4,"Charmander"," ","Fire"," ",309,39,52,43,60,50,65,1
5,"Charmeleon"," ","Fire"," ",405,58,64,58,80,65,80,1
6,"Charizard"," ","Fire","Flying",534,78,84,78,109,85,100,1
7,"Squirtle"," ","Water"," ",314,44,48,65,50,64,43,1
8,"Wartortle"," ","Water"," ",405,59,63,80,65,80,58,1
9,"Blastoise"," ","Water"," ",530,79,83,100,85,105,78,1
10,"Caterpie"," ","Bug"," ",195,45,30,35,20,20,45,1